wc,date_clean,coach_id,coach,brazil_score,opponent,opponent_score,win,loss,draw,result,venue,city,country,official,competition,wc_quali,wc_match,tenure_count,overall_count,wc_count
1998,13/11/1996,Zagallo-98,Zagallo,2,Camarões,0,1,0,0,W,Complexo Esportivo Pinheirão,Curitiba,Brasil,1,0,0,0,32,84,13
1998,18/12/1996,Zagallo-98,Zagallo,1,Bósnia-Herzegovina,0,1,0,0,W,Estádio Vivaldo Lima,Manaus,Brasil,1,0,0,0,33,85,13
1998,26/02/1997,Zagallo-98,Zagallo,4,Polônia,2,1,0,0,W,Estádio Serra Dourada,Goiânia,Brasil,1,0,0,0,34,86,13
1998,2/4/97,Zagallo-98,Zagallo,4,Chile,0,1,0,0,W,Estádio Mané Garrincha,Brasília,Brasil,1,0,0,0,35,87,13
1998,30/04/1997,Zagallo-98,Zagallo,4,México,0,1,0,0,W,Estádio Orange Bowl,Miami,Estados Unidos,1,0,0,0,36,88,13
1998,30/05/1997,Zagallo-98,Zagallo,2,Noruega,4,0,1,0,L,Ullevaal Stadion,Oslo,Noruega,1,0,0,0,37,89,13
1998,3/6/97,Zagallo-98,Zagallo,1,França,1,0,0,1,D,Stade Gerland,Lyon,França,1,1,0,0,38,90,13
1998,8/6/97,Zagallo-98,Zagallo,3,Itália,3,0,0,1,D,Stade Gerland,Lyon,França,1,1,0,0,39,91,13
1998,10/6/97,Zagallo-98,Zagallo,1,Inglaterra,0,1,0,0,W,Stade Parc des Princes,Paris,França,1,1,0,0,40,92,13
1998,13/06/1997,Zagallo-98,Zagallo,5,Costa Rica,0,1,0,0,W,Estádio Tahuichi Aguilera,Santa Cruz de La Sierra,Bolívia,1,1,0,0,41,93,13
1998,16/06/1997,Zagallo-98,Zagallo,3,México,2,1,0,0,W,Estádio Tahuichi Aguilera,Santa Cruz de La Sierra,Bolívia,1,1,0,0,42,94,13
1998,19/06/1997,Zagallo-98,Zagallo,2,Colômbia,0,1,0,0,W,Estádio Tahuichi Aguilera,Santa Cruz de La Sierra,Bolívia,1,1,0,0,43,95,13
1998,22/06/1997,Zagallo-98,Zagallo,2,Paraguai,0,1,0,0,W,Estádio Tahuichi Aguilera,Santa Cruz de La Sierra,Bolívia,1,1,0,0,44,96,13
1998,26/06/1997,Zagallo-98,Zagallo,7,Peru,0,1,0,0,W,Estádio Tahuichi Aguilera,Santa Cruz de La Sierra,Bolívia,1,1,0,0,45,97,13
1998,29/06/1997,Zagallo-98,Zagallo,3,Bolívia,1,1,0,0,W,Estádio Hernando Siles,La Paz,Bolívia,1,1,0,0,46,98,13
1998,10/8/97,Zagallo-98,Zagallo,2,Coréia Do Sul,1,1,0,0,W,Estádio Chamsil Olympic,Seul,Coréia do Sul,1,0,0,0,47,99,13
1998,13/08/1997,Zagallo-98,Zagallo,3,Japão,0,1,0,0,W,Estádio Nagai,Osaka,Japão,1,0,0,0,48,100,13
1998,10/9/97,Zagallo-98,Zagallo,4,Equador,2,1,0,0,W,Estádio da Fonte Nova,Salvador,Brasil,1,0,0,0,49,101,13
1998,9/10/97,Zagallo-98,Zagallo,2,Marrocos,0,1,0,0,W,Estádio Mangueirão,Belém,Brasil,1,0,0,0,50,102,13
1998,11/11/97,Zagallo-98,Zagallo,3,País de Gales,0,1,0,0,W,Estádio Mané Garrincha,Brasília,Brasil,1,0,0,0,51,103,13
1998,7/12/97,Zagallo-98,Zagallo,2,África do Sul,1,1,0,0,W,Estádio Ellis Park,Johanesburgo,África do Sul,1,0,0,0,52,104,13
1998,12/12/97,Zagallo-98,Zagallo,3,Arábia Saudita,0,1,0,0,W,Estádio King Fahad International,Riyadh,Arábia Saudita,1,1,0,0,53,105,13
1998,14/12/1997,Zagallo-98,Zagallo,0,Austrália,0,0,0,1,D,Estádio King Fahad International,Riyadh,Arábia Saudita,1,1,0,0,54,106,13
1998,16/12/1997,Zagallo-98,Zagallo,3,México,2,1,0,0,W,Estádio King Fahad International,Riyadh,Arábia Saudita,1,1,0,0,55,107,13
1998,19/12/1997,Zagallo-98,Zagallo,2,República Tcheca,0,1,0,0,W,Estádio King Fahad International,Riyadh,Arábia Saudita,1,1,0,0,56,108,13
1998,21/12/1997,Zagallo-98,Zagallo,6,Austrália,0,1,0,0,W,Estádio King Fahad International,Riyadh,Arábia Saudita,1,1,0,0,57,109,13
1998,3/2/98,Zagallo-98,Zagallo,0,Jamaica,0,0,0,1,D,Estádio Orange Bowl,Miami,Estados Unidos,1,1,0,0,58,110,13
1998,5/2/98,Zagallo-98,Zagallo,1,Guatemala,1,0,0,1,D,Estádio Orange Bowl,Miami,Estados Unidos,1,1,0,0,59,111,13
1998,8/2/98,Zagallo-98,Zagallo,4,El Salvador,0,1,0,0,W,Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,60,112,13
1998,10/2/98,Zagallo-98,Zagallo,0,Estados Unidos,1,0,1,0,L,Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,61,113,13
1998,15/02/1998,Zagallo-98,Zagallo,1,Jamaica,0,1,0,0,W,Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,62,114,13
1998,25/03/1998,Zagallo-98,Zagallo,2,Alemanha,1,1,0,0,W,Estádio Gottlieb-Daimler,Stuttgart,Alemanha,1,0,0,0,63,115,13
1998,29/04/1998,Zagallo-98,Zagallo,0,Argentina,1,0,1,0,L,Estádio do Maracanã,Rio de Janeiro,Brasil,1,0,0,0,64,116,13
1998,31/05/1998,Zagallo-98,Zagallo,1,Athletic Bilbao (ESP),1,0,0,1,D,Estádio San Mamés,Bilbao,Espanha,0,0,0,0,64,116,13
1998,3/6/98,Zagallo-98,Zagallo,3,Andorra,0,1,0,0,W,Stade Municipal de Paris,Saint-Ouen-Sur-Seine,França,1,0,0,0,65,117,13
2002,1/7/01,Scolari-02,Luiz Felipe Scolari,0,Uruguai,1,0,1,0,L,Estádio Centenario,Montevideo,Uruguai,1,1,1,0,1,1,0
2002,12/7/01,Scolari-02,Luiz Felipe Scolari,0,México,1,0,1,0,L,Estádio Pascual Guerrero,Cali,Colômbia,1,1,0,0,2,2,0
2002,15/07/2001,Scolari-02,Luiz Felipe Scolari,2,Peru,0,1,0,0,W,Estádio Pascual Guerrero,Cali,Colômbia,1,1,0,0,3,3,0
2002,18/07/2001,Scolari-02,Luiz Felipe Scolari,3,Paraguai,1,1,0,0,W,Estádio Pascual Guerrero,Cali,Colômbia,1,1,0,0,4,4,0
2002,9/8/01,Scolari-02,Luiz Felipe Scolari,5,Panamá,0,1,0,0,W,Arena da Baixada,Curitiba,Brasil,1,0,0,0,5,5,0
